OCC_HOUR,LOCATION_TYPE,PREMISES_TYPE,MCI_CATEGORY,LONG_WGS84,LAT_WGS84
1,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.3720667143149,43.7120894656731
18,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4155740411177,43.7797628753972
12,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4567474795682,43.7516569333502
20,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.5013858197314,43.7206941164811
9,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4411388319556,43.6538444636824
0,"Apartment (Rooming House, Condo)",Apartment,Theft Over,-79.4547473323248,43.7140806672905
21,Pharmacy,Other,Theft Over,-79.3833828457411,43.6620483165467
15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.4435609578449,43.6673219187757
8,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.6046334710737,43.7187542965877
12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3980463433012,43.6529381285071
19,Ttc Subway Train,Transit,Assault,-79.3842059245105,43.6707982509655
16,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,Assault,-79.3767133070272,43.6624126770736
22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Auto Theft,-79.3861094174283,43.6686246750473
21,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.357987661969,43.6526521461094
15,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.5452269969247,43.7396405326518
20,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Auto Theft,-79.3495716858323,43.7303198390647
21,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.4691171545892,43.7779373898242
17,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.3230136033512,43.7752384314767
20,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4062302421994,43.7276563231215
1,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.3429544791846,43.7287738231244
18,"Open Areas (Lakes, Parks, Rivers)",Outside,Robbery,-79.4832580313746,43.7452754715098
16,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3450119246828,43.6731419171788
4,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5459348223273,43.6416455506948
19,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3710284454984,43.6582885117532
10,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4934376444976,43.6888382306746
9,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.367812471691,43.644338463207
7,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5481616291315,43.6468316093685
11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.4461982796543,43.7148674375252
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.4782331156143,43.6234627203851
22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.560143550629,43.6473904497089
18,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5242483845821,43.621509762339
14,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3767133070272,43.6624126770736
19,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5461097874763,43.5957919424145
19,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.547490346825,43.632349556743
21,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.3778595312507,43.6750267369293
20,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4993871622469,43.7227757959812
12,"Apartment (Rooming House, Condo)",Apartment,Robbery,-79.2880299331826,43.6718573397842
8,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3932908217127,43.7090657520133
2,"Private Property Structure (Pool, Shed, Detached Garage)",Other,Break and Enter,-79.5077718764031,43.7097372693115
21,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4159980347347,43.7816314770614
19,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3710284454984,43.6582885117532
19,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.3523093253532,43.6600550414524
19,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3702133410004,43.6584838363097
22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4881118401052,43.7074633611379
20,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4993871622469,43.7227757959812
6,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4677717323151,43.6850626987059
22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4249253338202,43.6326805527797
2,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.2088554700172,43.7406395687238
12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.4705544682761,43.6796890822857
19,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3702133410004,43.6584838363097
0,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5692177173502,43.7562233134409
23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5154781209142,43.7441116704435
22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4055670158263,43.6880532579639
13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.3687893761317,43.7502292990429
15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.3835749391268,43.6479181857978
15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.4377891722481,43.6686607237014
18,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.2361316583223,43.7838534895324
23,Ttc Subway Station,Transit,Assault,-79.4482621800404,43.7248711886392
9,Universities / Colleges,Educational,Break and Enter,-79.3970326301306,43.6584783140953
23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.1437196999172,43.7848807529215
6,"Apartment (Rooming House, Condo)",Apartment,Auto Theft,-79.2221049972782,43.7424814623984
6,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.3328498629554,43.8000331258401
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5524562458578,43.7141298762906
20,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.1437903931546,43.7923466226333
21,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.516291087457,43.6195000286369
18,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4096279852743,43.6362491108059
4,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.2667158652679,43.7995403632141
9,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5567868140441,43.7236200615554
22,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4238638409563,43.7393686614134
21,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.3958119191834,43.7818294047606
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5568998425087,43.6101198168381
16,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3450119246828,43.6731419171788
18,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5544125743209,43.7176173608868
21,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.6017340441854,43.7184366347877
19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.3787192801191,43.6425441404092
18,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.5568998425087,43.6101198168381
15,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3688916355891,43.6554098228443
18,Ttc Bus,Transit,Assault,-79.4174281381478,43.7793640852491
1,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2914605869849,43.7269901432566
1,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5703945327142,43.7194002845481
12,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2543315569152,43.6991245462813
1,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2455563212789,43.7649128749999
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Robbery,-79.484813580946,43.6656060014781
16,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4684328650087,43.6934941885224
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Robbery,-79.484813580946,43.6656060014781
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Robbery,-79.484813580946,43.6656060014781
16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Theft Over,-79.4118604401987,43.6340690694362
16,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3867844299272,43.670220211821
15,"Religious Facilities (Synagogue, Church, Convent, Mosque)",Other,Break and Enter,-79.546607890853,43.6048180336127
15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Robbery,-79.1391444952266,43.7881842577643
15,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2591698455305,43.7784380272832
19,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.5195062182672,43.7025115973192
16,Schools During Un-Supervised Activity,Educational,Break and Enter,-79.4864487005524,43.7447713436292
22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.5833227640737,43.6599003366265
23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Theft Over,-79.4446121392215,43.7351402865955
1,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.5614731891899,43.6476592156224
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Robbery,-79.4856746552988,43.6684952355694
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.4856746552988,43.6684952355694
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.4856746552988,43.6684952355694
17,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2591698455305,43.7784380272832
17,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.2221049972782,43.7424814623984
15,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3939843670799,43.6452567770561
15,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3939843670799,43.6452567770561
19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.2401075887179,43.7888632406945
3,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.1835499017842,43.8056083152415
21,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4430774713579,43.6779552884845
3,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.4572507756332,43.6999365006871
3,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4077192800898,43.6564757728303
3,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.2333967031653,43.7273987693853
23,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3827242515802,43.7669097781832
2,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4014957731892,43.6799068540709
2,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Robbery,-79.448088473701,43.7124231189837
0,"Apartment (Rooming House, Condo)",Apartment,Auto Theft,-79.3364867916586,43.723479395139
21,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4199734754744,43.7122655230524
2,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.4014957731892,43.6799068540709
4,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.3387781082642,43.7005846893668
17,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.4914066234126,43.6857464629752
10,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.3020967851267,43.7233748357791
3,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.2168614662887,43.8038748286286
12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Auto Theft,-79.5079498827689,43.6256270707129
18,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Auto Theft,-79.6028464081026,43.648615122442
12,"Private Property Structure (Pool, Shed, Detached Garage)",Other,Auto Theft,-79.2199731538755,43.7961146891412
21,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.6199402254617,43.7236481486143
7,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Auto Theft,-79.6228279564489,43.726875859211
15,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Auto Theft,-79.4606982914094,43.6578788606534
0,Bar / Restaurant,Commercial,Assault,-79.3743113983367,43.6644734586647
5,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.5483688744758,43.7487716958889
9,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.3314028565531,43.7183540889318
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.4571379970365,43.7293442974042
8,Nursing Home,Other,Auto Theft,-79.3392174095087,43.7806360813959
23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Auto Theft,-79.4469694921356,43.7369343692542
14,"Apartment (Rooming House, Condo)",Apartment,Auto Theft,-79.4178198367397,43.7889716755476
8,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Theft Over,-79.4940784137179,43.6058746948404
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.5603131480872,43.6392276488495
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3978679899017,43.6748975033566
0,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4235496370075,43.6397169389751
11,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2543315569152,43.6991245462813
0,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.2361316583223,43.7838534895324
13,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,0,0
8,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Theft Over,-79.4940784137179,43.6058746948404
19,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.330217227178,43.8090292181848
2,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3836762970631,43.6415865403582
1,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3757864780024,43.6696498425683
0,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3921474655701,43.6510990731632
21,Convenience Stores,Commercial,Robbery,-79.4856746552988,43.6684952355694
11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.6030840474689,43.734162993413
18,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Break and Enter,-79.4018908973558,43.7537332791988
18,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.4153686932272,43.7663254134081
21,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4941508751952,43.7239398062694
15,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3387781082642,43.7005846893668
16,Retirement Home,Other,Assault,-79.4327809121149,43.6994492347191
19,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Robbery,-79.484813580946,43.6656060014781
12,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2553407049958,43.7104038701129
22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.5833227640737,43.6599003366265
22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.4206754701577,43.6592742487028
12,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.5467279172218,43.6970432450433
12,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2543315569152,43.6991245462813
12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.3005432558658,43.688441011836
10,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.490913009256,43.6875651708371
5,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2272606318247,43.7688624954757
5,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2529123385316,43.8108489475848
5,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.3790900115346,43.6535513557375
4,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.5606219545876,43.7674074963942
4,Pharmacy,Other,Assault,-79.3833828457411,43.6620483165467
11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.6030840474689,43.734162993413
8,"Open Areas (Lakes, Parks, Rivers)",Outside,Assault,-79.3813590033143,43.6666965628134
13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.3062099402206,43.7889201434889
20,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Theft Over,-79.6017340441854,43.7184366347877
4,Pharmacy,Other,Assault,-79.3833828457411,43.6620483165467
2,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4821350300388,43.6806258190238
2,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4821350300388,43.6806258190238
8,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.2065283521184,43.8083481805209
9,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4452187925296,43.6595062340422
23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.4189235284774,43.7623486673218
22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Assault,-79.2467555885522,43.7552573269656
20,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.1836070532584,43.761906010366
20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Robbery,-79.4856746552988,43.6684952355694
18,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2028523971869,43.7639187852766
17,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2591698455305,43.7784380272832
17,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.2221049972782,43.7424814623984
9,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Robbery,-79.542831179831,43.5922886405839
13,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.5896978356999,43.6901905269397
14,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.3387781082642,43.7005846893668
10,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4539525970019,43.6948694201025
10,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Assault,-79.4470867974074,43.6865067205058
15,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Assault,-79.2480811739989,43.7366903339619
22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,Auto Theft,-79.2265949073799,43.8094003004236
7,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Break and Enter,-79.4681542026657,43.717750118108
7,"Open Areas (Lakes, Parks, Rivers)",Outside,Assault,-79.4241354829308,43.6375874388234
10,Homeless Shelter / Mission,Other,Assault,-79.3727124378987,43.6523423989601
10,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2524700146388,43.7277885892742
6,"Apartment (Rooming House, Condo)",Apartment,Break and Enter,-79.4798474278181,43.7099251827548
10,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.4426050499582,43.7723092175358
21,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.2126138010344,43.7440370961306
7,"Apartment (Rooming House, Condo)",Apartment,Assault,-79.3472262831414,43.7617456837928
10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Assault,-79.5568998425087,43.6101198168381
17,Ttc Bus,Transit,Assault,-79.4810627442838,43.6630024416587
